,Цена,Ссылка,Общая площадь,Площадь кухни,Этаж,Санузел,Окна,Ремонт,Тип дома,Пассажирский лифт,Грузовой лифт,Парковка,Город,Этажей в доме,умный_относ_этаж,возраст_дома,период_строительства
8877,7450000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_725_m_1414_et._7255839886?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,72.5,11.2,14,2,0,3,9870197.894296648,1,1,0,6531166.464112665,14,1.4,20.0,3
8878,8150000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_605_m_1017_et._7299677117?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,60.5,5.0,10,0,1,0,14024004.145800991,1,1,3,6531166.464112665,17,0.5625,2.0,4
8879,9200000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_53_m_35_et._4077635364?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,53.0,24.0,3,0,0,1,9870197.894296648,1,1,3,6531166.464112665,5,0.5,8.0,4
8880,4450000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_37_m_1224_et._7572925667?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,37.0,10.0,12,0,0,0,8348267.076508711,1,0,0,6531166.464112665,24,0.4782608695652174,38.0,1
8881,4300000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_323_m_1415_et._4855751969?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,32.3,11.2,14,0,0,0,8348267.076508711,1,1,0,6531166.464112665,15,1.1142857142857143,38.0,1
8882,5385000.0,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_542_m_117_et._7845634946?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,54.2,9.6,1,1,1,0,17259665.500506587,1,1,0,6531166.464112665,17,0.0,8.0,4
8883,6050000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_454_m_1417_et._7761482714?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,45.4,9.5,14,0,0,0,17259665.500506587,1,1,0,6531166.464112665,17,0.8125,8.0,4
8884,4499000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_613_m_29_et._7500355967?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,61.3,7.8,2,1,1,2,9870197.894296648,1,0,0,6531166.464112665,9,0.125,36.0,1
8885,5900000.0,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_373_m_421_et._7722546790?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,37.3,11.8,4,0,1,0,14024004.145800991,3,3,3,6531166.464112665,21,0.15,0.0,4
8886,15500000.0,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_124_m_1319_et._7785483686?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJNZTg2YTJORUd2dnk1aUk0Ijt9hM7IxD8AAAA,124.0,32.0,13,0,1,2,14024004.145800991,1,1,3,6531166.464112665,19,0.6666666666666666,7.0,4
