Цена,Ссылка,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Балкон или лоджия,Дополнительно,Тип комнат,Высота потолков,Санузел,Окна,Ремонт,Тёплый пол,Мебель,Техника,Способ продажи,Вид сделки,Тип дома,Год постройки,Этажей в доме,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Стоимость ремонта,Отделка,Название новостройки,"Корпус, строение",Тип участия,Срок сдачи,Запланирован снос
53000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_733_m_917_et._7695620669?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,3,73.3 м²,18 м²,,9 из 17,,,"изолированные, смежные",,совмещенный,на улицу,дизайнерский,,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор, фен, утюг",свободная,возможна ипотека,монолитный,,17,1,1,"консьерж, мусоропровод","закрытая территория, детская площадка, спортивная площадка",,,,,,,,
57600000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1152_m_510_et._7591513090?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,3,115.2 м²,12 м²,,5 из 10,,,изолированные,,совмещенный,"во двор, на улицу",дизайнерский,,,,свободная,возможна ипотека,монолитный,2013,10,1,1,,"закрытая территория, детская площадка",подземная,,,,,,,
16938500.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_526_m_812_et._7768510080?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,2,52.6 м²,8.7 м²,30.6 м²,8 из 12,,,изолированные,,раздельный,во двор,дизайнерский,,"кухня, спальные места","кондиционер, холодильник, стиральная машина",свободная,возможна ипотека,панельный,1975,12,2,1,мусоропровод,"детская площадка, спортивная площадка",открытая во дворе,,,,,,,
14950000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_45_m_69_et._7777512213?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,2,45 м²,6 м²,25 м²,6 из 9,балкон,,изолированные,,совмещенный,во двор,дизайнерский,,,,свободная,возможна ипотека,панельный,,9,,,,,,,,,,,,
22400000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_73_m_617_et._7659289837?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,1,73 м²,21 м²,,6 из 17,лоджия,"гардеробная, панорамные окна",,3 м,"совмещенный, раздельный",на улицу,дизайнерский,есть,,кондиционер,свободная,возможна ипотека,монолитно-кирпичный,2023,17,1,1,консьерж,"закрытая территория, детская площадка, спортивная площадка",подземная,,,,,,,
3850000.0,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_179_m_15_et._7765794856?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,студия,17.9 м²,,,1 из 5,,,,,совмещенный,во двор,дизайнерский,,,,свободная,,кирпичный,,5,,,,"детская площадка, спортивная площадка",наземная многоуровневая,,,,,,,
33000000.0,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_713_m_1843_et._7321868393?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,3,71.3 м²,15 м²,42 м²,18 из 43,,,изолированные,,,"во двор, на улицу",,,,,договор долевого участия,возможна ипотека,монолитный,,43,,,,,,,без отделки,ЖК «ЗИЛАРТ»,Дом 21 (ЗИЛАРТ SPARK),ДДУ по ФЗ 214,Сдача в 4 кв. 2027,
51270000.0,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_96_m_1012_et._7768445981?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,2,96 м²,23 м²,,10 из 12,,,изолированные,,совмещенный,на улицу,дизайнерский,,,,свободная,возможна ипотека,монолитный,2023,12,4,4,консьерж,закрытая территория,подземная,,,,,,,
4199000.0,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_17_m_114_et._7781507009?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,студия,17 м²,,,1 из 14,,,,2.6 м,совмещенный,во двор,требует ремонта,,,,свободная,,панельный,1989,14,1,1,,детская площадка,открытая во дворе,,,,,,,
16000000.0,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_378_m_564_et._7568769351?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJuaDF0S25qMDJNbTRKOXMyIjt9CbP8DD8AAAA,1,37.8 м²,11.3 м²,,5 из 64,балкон,,,,совмещенный,на улицу,,,,,переуступка,возможна ипотека,монолитный,,64,3,1,,"закрытая территория, детская площадка, спортивная площадка",подземная,от 761 000 ₽ за 37.8 м²,без отделки,ЖК «Level Звенигородская»,"Корпус 2, 1 этап",ДДУ по ФЗ 214,Сдача в 1 кв. 2028,
